id,target
0,0
2,1
3,1
9,0
11,0
12,0
21,0
22,0
27,0
29,0
30,0
35,0
42,0
43,0
45,0
46,0
47,0
51,0
58,0
60,0
69,0
70,1
72,1
75,0
84,0
87,1
88,1
90,1
94,0
99,0
101,1
103,0
106,1
108,1
111,0
115,1
116,0
122,0
123,0
124,0
125,0
127,1
140,0
142,0
147,1
148,0
150,0
152,0
154,1
155,0
166,0
167,0
169,1
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,0
202,0
206,1
207,0
214,0
217,1
223,0
224,1
227,0
228,0
230,0
233,1
234,1
236,1
239,1
250,1
255,1
257,0
259,0
275,0
278,0
282,1
284,0
286,1
288,0
292,0
295,0
300,1
304,0
305,1
306,0
308,0
311,0
317,1
319,0
323,1
324,0
325,0
326,1
333,0
339,1
342,1
343,0
350,1
351,0
357,1
359,0
362,0
366,0
367,0
369,1
373,1
374,1
376,1
377,1
378,0
379,1
382,0
385,0
387,0
388,0
391,1
392,1
395,1
399,1
400,0
403,0
405,0
408,0
411,0
414,1
416,0
417,0
422,0
425,0
428,1
430,1
431,0
433,0
434,0
439,0
441,0
449,1
458,0
460,0
464,0
473,0
488,1
491,0
494,0
497,0
500,1
505,0
507,1
508,0
510,0
511,0
515,1
525,1
529,0
532,0
534,0
537,1
539,1
541,0
545,0
547,0
548,1
549,1
553,1
554,0
555,1
557,1
562,1
566,0
572,1
573,0
582,0
586,0
587,0
590,1
591,0
593,1
595,1
596,1
597,0
601,0
602,1
605,1
610,1
616,1
618,1
620,0
626,0
627,0
629,0
632,0
634,1
639,1
645,1
647,1
648,0
650,1
663,0
666,0
668,1
670,0
673,0
676,1
678,0
692,0
693,1
694,0
695,0
696,0
698,0
701,0
703,1
707,1
708,1
711,1
715,1
718,0
722,1
723,0
733,1
741,0
742,1
743,0
747,0
749,1
750,1
756,1
757,0
760,0
764,0
765,0
766,1
768,0
769,0
771,1
772,0
776,0
778,0
780,0
785,0
789,0
792,0
793,0
811,0
813,0
816,0
821,0
824,0
825,1
827,0
830,1
831,1
839,0
844,1
847,1
850,1
854,1
855,0
858,1
861,0
862,1
865,1
869,0
879,0
880,1
887,0
889,1
897,1
900,0
901,0
904,1
908,0
909,0
910,1
913,0
914,1
917,0
918,1
920,1
922,0
924,0
925,1
927,1
933,0
937,1
943,0
949,0
950,0
954,0
966,0
967,1
969,0
970,1
973,0
975,0
980,0
988,0
989,0
995,0
1000,0
1003,0
1007,0
1011,1
1012,0
1013,0
1014,0
1016,1
1019,0
1025,1
1027,1
1028,1
1030,0
1033,0
1034,0
1039,1
1046,1
1047,1
1053,0
1055,0
1056,0
1059,0
1060,1
1063,0
1064,1
1068,0
1076,0
1086,0
1087,0
1089,0
1092,0
1095,0
1096,0
1097,0
1100,0
1101,0
1107,1
1108,1
1111,0
1115,0
1116,0
1121,0
1125,1
1127,0
1131,1
1133,0
1135,1
1137,1
1140,0
1144,0
1147,1
1148,1
1150,0
1158,0
1159,1
1161,1
1163,1
1165,0
1169,1
1171,0
1172,0
1176,1
1180,1
1184,0
1186,0
1187,0
1192,0
1193,0
1194,0
1197,0
1200,0
1205,0
1210,0
1216,0
1220,0
1231,0
1233,0
1246,1
1247,1
1248,1
1255,1
1256,0
1257,1
1258,1
1260,0
1261,0
1265,1
1266,1
1268,0
1274,1
1281,0
1285,1
1286,1
1291,0
1292,0
1295,0
1299,0
1306,0
1310,1
1311,0
1313,1
1314,1
1322,1
1323,1
1325,0
1329,0
1330,0
1333,0
1336,1
1339,0
1342,0
1344,1
1355,0
1357,0
1358,0
1359,0
1364,0
1366,1
1367,0
1370,0
1373,0
1377,0
1386,1
1387,0
1392,0
1397,0
1398,1
1400,0
1403,1
1404,0
1410,0
1413,0
1416,1
1417,0
1423,0
1424,0
1426,1
1427,0
1428,0
1430,1
1434,0
1435,0
1437,1
1438,0
1442,0
1446,1
1451,1
1457,0
1461,0
1462,0
1465,0
1468,0
1469,0
1471,1
1476,0
1478,0
1481,1
1489,0
1490,0
1492,1
1496,1
1512,1
1516,0
1517,1
1528,0
1529,1
1536,1
1539,0
1541,0
1542,1
1548,1
1550,1
1551,0
1552,0
1557,0
1563,0
1564,0
1565,1
1566,0
1571,0
1578,1
1581,1
1583,1
1584,0
1586,1
1589,1
1592,0
